"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"23915","LIQUIDBETF","BFAM - LIQUIDBETF","EQ","1.0000","1","ETF","E","NSE","1200.0000","800.0000","","","3269"
"24081","TOP100CASE","ZERODHAAMC - TOP100CASE","EQ","1.0000","1","ETF","E","NSE","12.4300","8.2800","","","499100"
"24077","MID150CASE","ZERODHAAMC - MID150CASE","EQ","1.0000","1","ETF","E","NSE","12.3700","8.2400","","","474284"
"24117","BBNPNBETF","BARODABNP - BBNPNBETF","EQ","1.0000","1","ETF","E","NSE","59.6500","39.7600","","","117300"
"544206","SBISILVER","SBI Mutual Fund","E","1.0000","1","ETF","E","BSE","97.2400","64.8300","","","-1"
"24366","SBISILVER","SBIAMC - SBISILVER","EQ","1.0000","1","ETF","E","NSE","97.2400","64.8300","","","80478"
"24374","LIQUIDSHRI","SHRIRAM - LIQUIDSHRI","EQ","1.0000","1","ETF","E","NSE","1208.9100","805.9400","","","6053"
"24404","ABGSEC","BIRLASLAMC - ABGSEC","EQ","1.0000","1","ETF","E","NSE","121.9000","81.2700","","","34469"
"24461","EVINDIA","MIRAEAMC - EVINDIA","EQ","1.0000","1","ETF","E","NSE","38.8000","25.8700","","","867688"
"24524","SBINEQWETF","SBIAMC - SBINEQWETF","EQ","1.0000","1","ETF","E","NSE","36.9800","24.6500","","","200844"
"24533","OILIETF","ICICIPRAMC - OILIETF","EQ","1.0000","1","ETF","E","NSE","15.3900","10.2600","","","500905"
"24798","GROWEV","GROWWAMC - GROWEV","EQ","1.0000","1","ETF","E","NSE","38.7700","25.8400","","","584880"
